movie|celeb|review
The Station|Marvin Kren|Janek is a technician on a climate observation station high up in the German Alps, one of a team of scientists preparing their outpost for visit from the Environment Minister. Their routine is interrupted by a strange discovery; a red liquid pouring from a nearby glacier, melted free from the ice crust that is shrinking with climate change. When the 'glacier blood' comes in contact with the local wildlife, it causes changes that are at first curious, then horrifying. Soon Janek and his team have their hands full defending themselves and the station against a growing horde of biological monstrosities. Using every tool at their disposal they must learn to work together to survive the onslaught. Harking back to classic creature features, director Marvin Kren combines classical filmmaking techniques with imaginative practical effects to produce a rollercoaster ride of laughs and jolts. (C) IFC Films
New York Minute|Dennie Gordon|Marking their first theatrical-release feature since 1995's It Takes Two, the Olsen twins bring their adventures back to the big screen with New York Minute. Billed as a sort of Ferris Bueller's Day Off for tweens, the plot involves the escapades of two enterprising Long Island girls, Roxy (Mary-Kate Olsen) and Jane (Ashley Olsen), as they decide to dupe their parents and spend a day on the island of Manhattan. It seems the high-minded Jane has a speech to give to a scholarship committee, while the punky Roxy wants to meet her favorite rock band. When Jane's planner gets swiped, however, the girls find themselves embroiled in a political scandal involving a high-powered senator (Andrea Martin), as their high school's truant officer (Eugene Levy) doggedly pursues them.
The Gospel Of John|Philip Saville|Veteran British filmmaker Philip Saville directs the religious epic The Gospel of John, a production of the Canadian company Visual Bible International. This three-hour drama attempts to accurately follow the Gospel According to John, written sometime during the first century. The gospel contains four segments: an introduction to the nature of Jesus Christ; testimony by disciples and the presence of miracles; the Last Supper and crucifixion; and the appearance of the risen Christ. Henry Ian Cusick plays Jesus and Christopher Plummer provides voice-over narration. The Gospel of John was shown in a special presentation at the 2003 Toronto Film Festival.
6 Angels|Luis Almeida|In 1988, Taileen slips into a coma after a car accident. Twelve years later, she wakes to a new world, a new body, and a newlife... the life of an angel.
One Angry Man|Peter Le Donne|Conceived as a satirical reimagining of Reginald Rose's play and teleplay 12 Angry Men, this comedy toplines funnyman Jackie Mason, who plays himself. Days before his new Broadway show is scheduled to open, Jackie receives a summons to serve jury duty. His attorney, Raoul Felder, tries to extricate him, and Jackie makes a concerted attempt to talk his way out of the jury, but his efforts have the opposite effect. His fellow participants in the box include an airheaded model (Stacey Sipowicz), a women's rights advocate (Pamela Saubaugh), a self-deprecating Jewish man (Marty McDonough), a transvestite (Frank Anthony Polito) and many others - all arguing amongst one another to try to determine if an Arabic teenager named Yusef (Justin P. Nardecchia) is guilty of slaying a respected police veteran. Naturally, Jackie stirs up chaos, and tempers flare as the summoned argue with one another. But eventually Jackie becomes convinced of Yusef's innocence, and begins trying to convince the others of this position.
Chick Magnet 2011|Ryan R. Williams|When Jen tosses her freeloader husband (Phil) out of her life, he crashes with two college buddies. Then the unbelievable happens; he and his friends come upon a life changing discovery - a magic shirt that guarantees them sex with all the women they can handle. While Phil's friends pursue a daily diet of Maxim models and close encounters with Hollywood's hottest, Phil schemes to use the shirt to win Jen back. Chick Magnet is an edgy comedy about truth, justice, and the American lay. -- (C) Phase 4 Films
Smokin Stogies|Vincent Di Rosa|Smokin' Stogies stars Joseph Marino as Vinnie Marscone, a mobster who, on orders from his boss (Tony Sirico), is sent from New York to Miami to locate a missing million dollar shipment of Cuban cigars. Vinnie believes that the local mobsters in Florida are supposed to help him, but he begins to suspect otherwise as he finds himself on a wild goose chase that may end with him dead before he finds the contraband.
Bikini Summer 3|Ken Blakey|In this sexy, sun-drenched outing, a buxom makeup artist allows the coordinator of a Miami beauty contest to convince her to enter and display her considerable womanly charms.
American Ultra|Nima Nourizadeh|American Ultra is a fast-paced action comedy about Mike (Eisenberg), a seemingly hapless and unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe (Stewart), is suddenly turned upside down. Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive. (C) Lionsgate
Suffragette|Sarah Gavron|Academy Award nominees Carey Mulligan and Helena Bonham Carter, and three-time Academy Award winner Meryl Streep, lead the cast of a powerful drama about the women who were willing to lose everything in their fight for equality in early-20th-century Britain. The stirring story centers on Maud (played by Carey Mulligan), a working wife and mother whose life is forever changed when she is secretly recruited to join the U.K.'s growing suffragette movement. Galvanized by the outlaw fugitive Emmeline Pankhurst (Meryl Streep), Maud becomes an activist for the cause alongside women from all walks of life. When increasingly aggressive police action forces Maud and her dedicated fellow suffragettes underground, they engage in a dangerous game of cat-and-mouse with the authorities, who are shocked as the women's civil disobedience escalates and sparks debate across the nation. Inspired by true events, SUFFRAGETTE is a moving drama exploring the passion and heartbreak of those who risked all they had for women's right to vote - their jobs, their homes, their children, and even their lives. The film also stars Ben Whishaw, Anne-Marie Duff, Brendan Gleeson, Romola Garai, and Natalie Press. SUFFRAGETTE is directed by BAFTA Award winner Sarah Gavron from an original screenplay by Emmy Award winner Abi Morgan. (C) Focus Features
